title,id,bytes,captured,model,dims,dur,gps
IMG_4462.HEIC,17-Qkzev9kdZttdHKzU_MKEg1257gdWS4,1371210,2023-05-06 21:12:50,Apple iPhone 14,3024x4032,,yes
IMG_4508.HEIC,1d9RiC3Ml32b25qAGCZuvl9j9X7dAJ-7-,1629915,2023-05-12 21:43:32,Apple iPhone 14,3024x4032,,yes
IMG_4509.HEIC,1EQmVJ7a0i2FRrbaZhTTF79wW_Bem7JFa,1640786,2023-05-12 21:43:35,Apple iPhone 14,3024x4032,,yes
IMG_4511.HEIC,1Hq1e6kgXYJpudVAdto7M-DWjvavMZYD8,1983249,2023-05-12 21:43:44,Apple iPhone 14,3024x4032,,yes
IMG_4983.HEIC,1YoG3A4TRfAQnIfatC_KHmpH2gReW5vtr,1756213,2023-05-29 15:27:35,Apple iPhone 14,3024x4032,,yes
IMG_4992.HEIC,1c1e0i4vx4zmwt1FHhHQDdAn6d0eDLuDS,2227636,2023-05-29 18:20:39,Apple iPhone 14,3024x4032,,yes
IMG_4994.HEIC,19z06AJTfE6Fozb5nSjhGHkEBi8OfvPz8,1535269,2023-05-29 18:22:24,Apple iPhone 14,3024x4032,,yes
IMG_5010.HEIC,1EOWaUmWK-xvdTM-ICF9A10Up3TSSnt3A,1515085,2023-05-30 20:42:08,Apple iPhone 14,3024x4032,,yes
IMG_5013.HEIC,1xe1kowqu2zqEdJiyQJxf6Ca4VfjiJKbP,1358544,2023-05-30 20:42:36,Apple iPhone 14,3024x4032,,yes
IMG_5016.MOV,1KqXsdFaBAj2IVt58TJAnU-GrA9RosJ8l,4870574,2026-08-28 21:38:36,,,00:00:02.40,
IMG_5020.HEIC,1roR8HAmpxeJk8TSu1FWFEUXlsJQO3AW0,1576069,2023-05-31 15:56:26,Apple iPhone 14,3024x4032,,yes
IMG_5023.HEIC,1OtsLte18HIEdFOEb3cvT00NKrHBeoWY9,2167745,2023-05-31 15:57:11,Apple iPhone 14,3024x4032,,yes
IMG_8696.JPG,1NU1DpFmfxCAVhqkszrPvvnQ2PRLjii-U,468264,2023-02-12 15:30:07,,1206x2208,,
IMG_8697.JPG,1tCJqzVOD1F2FeFdlWUZ-OBkKgtlEFTED,493665,2023-02-12 15:30:17,,1206x2208,,
IMG_8698.JPG,1VqQ53Z6_A8QUQrl-R76nvBhdWlMPhcye,405616,2023-02-12 15:42:24,,1206x2208,,
IMG_8700.JPG,11USUfyelyWO86TfXyIQRN9p3oziJD0Qi,521400,2023-02-12 15:43:00,,1206x2208,,
IMG_8701.jpg,1aEIEf3tHW8Z7_eld7gwCDZms2bev_E-2,621987,2023-02-12 15:43:12,,2208x1206,,
IMG_8702.JPG,1DmOL_MiF4xgVWICFvXbbzw6DpvLNZIhm,435173,2023-02-12 15:43:23,,1206x2208,,
IMG_9286.HEIC,1KwiC4hMAD7npB2w-YDedIPnmZGJ161qq,1996019,2022-04-17 14:54:52,Apple iPhone XR,3024x4032,,yes
Resized_Resized_20221210_152305.JPG,1Tcf8w5zJ8arGin1SRkteSwCPpIDG-tJU,188924,,,1024x1024,,
Resized_Resized_20221210_152450.JPG,1Yaou6bp1-EAxZ84P6wCecIQtHyXUExZ8,165990,,,1024x1024,,
